Count,"Tradelist Count",Name,Edition,"Card Number",Condition,Foil,Signed,"Artist Proof","Altered Art",Misprint,Promo,Textless,"My Price"
1,,"Craw Wurm","Limited Edition Alpha",,,,,,,,,,49.50
1,,Fear,"Limited Edition Alpha",,,,,,,,,,41.13
1,,"Hurloon Minotaur","Limited Edition Beta",,,,,,,,,,12.56
1,,"Scathe Zombies","Limited Edition Beta",,,,,,,,,,22.99
1,,"War Mammoth","Limited Edition Beta",,,,,,,,,,20.00
1,,"Wall of Fire","Unlimited Edition",,,,,,,,,,2.84
2,,"Animate Dead","Revised Edition",,,,,,,,,,4.11
2,,"Llanowar Elves","Fourth Edition",,,,,,,,,,0.31
1,,"Ice Floe","Ice Age",,,,,,,,,,0.34
4,,Paralyze,"Fifth Edition",,,,,,,,,,0.24
3,,"Lotus Petal",Tempest,,,,,,,,,,18.20
2,,"Sanguine Guard","Urza's Saga",155,,,,,,,,,0.25
3,,Unearth,"Urza's Legacy",72,,,,,,,,,1.01
2,,"Dread of Night","Classic Sixth Edition",122,,,,,,,,,0.70
1,,Flight,"Classic Sixth Edition",68,,,,,,,,,0.24
3,,"Rofellos, Llanowar Emissary","Urza's Destiny",118,,,,,,,,,69.99
1,,"Dark Ritual","Mercadian Masques",129,,,,,,,,,0.90
2,,"Midnight Ritual","Mercadian Masques",146,,,,,,,,,0.43
3,,Massacre,Nemesis,58,,,,,,,,,0.65
4,,"Llanowar Elves","Seventh Edition",253,,,,,,,,,0.40
1,,Rowen,"Seventh Edition",266,,,,,,,,,0.49
1,,"Faceless Butcher",Torment,60,,,,,,,,,0.25
1,,"Windswept Heath",Onslaught,328,,,,,,,,,88.99
1,,"City of Brass","Eighth Edition",322,,,,,,,,,23.74
1,,Bloodscent,Mirrodin,114,,,,,,,,,0.25
1,,"Consume Spirit",Mirrodin,60,,,,,,,,,0.23
2,,"Journey of Discovery",Mirrodin,123,,,,,,,,,0.30
1,,"Living Hive",Mirrodin,124,,,,,,,,,0.51
1,,"Loxodon Punisher",Mirrodin,14,,,,,,,,,0.44
1,,"One Dozen Eyes",Mirrodin,126,,,,,,,,,0.25
1,,"Slith Predator",Mirrodin,129,,,,,,,,,0.25
4,,"Chittering Rats",Darksteel,39,,,,,,,,,0.71
2,,"Emissary of Despair",Darksteel,42,,,,,,,,,0.25
1,,"Murderous Spoils",Darksteel,48,,,,,,,,,0.25
1,,"Beacon of Destruction","Fifth Dawn",61,,,,,,,,,0.47
1,,"Blind Creeper","Fifth Dawn",42,,,,,,,,,0.19
1,,"Bringer of the Black Dawn","Fifth Dawn",43,,,,,,,,,2.71
1,,"Crucible of Worlds","Fifth Dawn",114,,,,,,,,,47.60
2,,"Dawn's Reflection","Fifth Dawn",85,,,,,,,,,0.25
2,,"Devour in Shadow","Fifth Dawn",46,,,,,,,,,0.28
1,,"Disruption Aura","Fifth Dawn",28,,,,,,,,,0.24
3,,"Dross Crocodile","Fifth Dawn",47,,,,,,,,,0.20
1,,"Ebon Drake","Fifth Dawn",48,,,,,,,,,0.25
1,,"Eternal Witness","Fifth Dawn",86,,,,,,,,,4.68
1,,"Fist of Suns","Fifth Dawn",123,,,,,,,,,10.66
1,,Fleshgrafter,"Fifth Dawn",51,,,,,,,,,0.19
1,,"Plunge into Darkness","Fifth Dawn",57,,,,,,,,,8.00
1,,"Relentless Rats","Fifth Dawn",58,,,,,,,,,2.08
1,,"Shattered Dreams","Fifth Dawn",59,,,,,,,,,0.25
1,,"Sylvok Explorer","Fifth Dawn",93,,,,,,,,,0.21
1,,"Tangle Asp","Fifth Dawn",94,,,,,,,,,0.23
1,,"Tel-Jilad Lifebreather","Fifth Dawn",96,,,,,,,,,0.20
1,,"Vicious Betrayal","Fifth Dawn",60,,,,,,,,,0.19
1,,"Azusa, Lost but Seeking","Champions of Kamigawa",201,,,,,,,,,13.08
2,,"Kami of the Hunt","Champions of Kamigawa",219,,,,,,,,,0.20
1,,"Night of Souls' Betrayal","Champions of Kamigawa",133,,,,,,,,,0.92
1,,"Orbweaver Kumo","Champions of Kamigawa",231,,,,,,,,,0.25
1,,"Kodama of the Center Tree","Betrayers of Kamigawa",131,,,,,,,,,0.49
1,,"Loam Dweller","Betrayers of Kamigawa",134,,,,,,,,,0.32
1,,"Petalmane Baku","Betrayers of Kamigawa",139,,,,,,,,,0.24
1,,"Scaled Hulk","Betrayers of Kamigawa",143,,,,,,,,,0.20
2,,"Dimir Aqueduct","Ravnica: City of Guilds",276,,,,,,,,,0.47
4,,"Elves of Deep Shadow","Ravnica: City of Guilds",161,,,,,,,,,2.62
2,,"Golgari Thug","Ravnica: City of Guilds",87,,,,,,,,,1.98
1,,"Stinkweed Imp","Ravnica: City of Guilds",107,,,,,,,,,1.07
1,,"Skeletal Vampire",Guildpact,62,,,,,,,,,0.48
1,,"Nettling Curse",Dissension,48,,,,,,,,,0.20
2,,"Crime // Punishment",Dissension,150a/150b,,,,,,,,,13.88
1,,"Jötun Grunt",Coldsnap,8,,,,,,,,,0.37
2,,Conflagrate,"Time Spiral",151,,,,,,,,,0.59
1,,"Dralnu, Lich Lord","Time Spiral",237,,,,,,,,,1.10
2,,"Lim-Dûl the Necromancer","Time Spiral",114,,,,,,,,,1.95
1,,"Stronghold Overseer","Time Spiral",133,,,,,,,,,0.76
1,,"Circle of Affliction","Planar Chaos",66,,,,,,,,,0.26
1,,"Essence Warden","Planar Chaos",145,,,,,,,,,5.50
1,,"Mirri the Cursed","Planar Chaos",75,,,,,,,,,1.99
1,,"Vampiric Link","Planar Chaos",92,,,,,,,,,0.48
1,,"Aven Mindcensor","Future Sight",18,,,,,,,,,3.75
4,,Narcomoeba,"Future Sight",54,,,,,,,,,1.55
4,,"Festering Goblin","Tenth Edition",143,,,,,,,,,0.20
4,,"Severed Legion","Tenth Edition",177,,,,,,,,,0.20
2,,"Sylvan Scrying","Tenth Edition",302,,,,,,,,,1.16
1,,Aethersnipe,Lorwyn,50,,,,,,,,,0.24
1,,"Aquitect's Will",Lorwyn,52,,,,,,,,,0.32
1,,"Auntie's Hovel",Lorwyn,267,,,,,,,,,19.97
1,,"Avian Changeling",Lorwyn,4,,,,,,,,,0.25
1,,Benthicore,Lorwyn,53,,,,,,,,,0.25
1,,"Boggart Sprite-Chaser",Lorwyn,156,,,,,,,,,0.20
1,,"Bog-Strider Ash",Lorwyn,198,,,,,,,,,0.20
1,,"Caterwauling Boggart",Lorwyn,157,,,,,,,,,0.27
1,,"Cloudcrown Oak",Lorwyn,201,,,,,,,,,0.24
1,,"Crush Underfoot",Lorwyn,162,,,,,,,,,0.26
1,,"Dauntless Dourbark",Lorwyn,203,,,,,,,,,3.40
1,,"Elvish Branchbender",Lorwyn,204,,,,,,,,,0.25
1,,"Elvish Eulogist",Lorwyn,205,,,,,,,,,0.24
1,,"Elvish Harbinger",Lorwyn,207,,,,,,,,,10.55
1,,"Eyes of the Wisent",Lorwyn,210,,,,,,,,,0.52
1,,"Ghostly Changeling",Lorwyn,116,,,,,,,,,0.27
2,,"Gilt-Leaf Palace",Lorwyn,268,,,,,,,,,16.19
1,,"Harpoon Sniper",Lorwyn,19,,,,,,,,,0.30
1,,"Hunt Down",Lorwyn,218,,,,,,,,,0.20
1,,"Imperious Perfect",Lorwyn,220,,,,,,,,,1.32
1,,"Incendiary Command",Lorwyn,179,,,,,,,,,2.66
1,,"Inkfathom Divers",Lorwyn,70,,,,,,,,,0.23
1,,"Inner-Flame Acolyte",Lorwyn,181,,,,,,,,,0.25
1,,"Kinsbaile Balloonist",Lorwyn,23,,,,,,,,,0.20
1,,"Lys Alana Huntmaster",Lorwyn,229,,,,,,,,,0.47
1,,"Moonglove Extract",Lorwyn,258,,,,,,,,,0.23
1,,"Moonglove Winnower",Lorwyn,126,,,,,,,,,0.21
1,,Mournwhelk,Lorwyn,127,,,,,,,,,0.23
2,,"Nameless Inversion",Lorwyn,128,,,,,,,,,0.25
1,,"Nath's Buffoon",Lorwyn,129,,,,,,,,,0.21
1,,"Nath's Elite",Lorwyn,231,,,,,,,,,0.22
1,,"Needle Drop",Lorwyn,186,,,,,,,,,1.11
1,,"Oaken Brawler",Lorwyn,33,,,,,,,,,0.21
1,,"Paperfin Rascal",Lorwyn,77,,,,,,,,,0.21
1,,Peppersmoke,Lorwyn,134,,,,,,,,,0.24
1,,"Prowess of the Fair",Lorwyn,136,,,,,,,,,0.53
1,,"Quill-Slinger Boggart",Lorwyn,137,,,,,,,,,0.20
1,,Ringskipper,Lorwyn,81,,,,,,,,,0.22
1,,"Silvergill Douser",Lorwyn,87,,,,,,,,,0.24
1,,"Soaring Hope",Lorwyn,40,,,,,,,,,0.24
1,,"Surge of Thoughtweft",Lorwyn,43,,,,,,,,,0.22
1,,"Tar Pitcher",Lorwyn,193,,,,,,,,,0.25
1,,Tarfire,Lorwyn,194,,,,,,,,,0.39
1,,"Tideshaper Mystic",Lorwyn,93,,,,,,,,,0.25
4,,"Treefolk Harbinger",Lorwyn,239,,,,,,,,,1.58
1,,"Triclopean Sight",Lorwyn,45,,,,,,,,,0.25
1,,"Veteran of the Depths",Lorwyn,46,,,,,,,,,0.25
1,,"Wanderer's Twig",Lorwyn,265,,,,,,,,,0.47
1,,"Wellgabber Apothecary",Lorwyn,47,,,,,,,,,0.24
